instance_name,instance_id,n,q,s,t,optimal_cut_size,optimal_cut_labels,run_time_s
instance_01_n5_p0.1_q2.txt,1,5,2,0,4,1,0,6e-05
instance_02_n5_p0.3_q2.txt,2,5,1,0,4,1,1,3.1e-05
instance_03_n5_p0.5_q3.txt,3,5,3,0,4,1,2,6.6e-05
instance_04_n5_p0.7_q2.txt,4,5,2,0,4,1,1,4.6e-05
instance_05_n5_p0.9_q5.txt,5,5,5,0,4,3,0 1 3,0.000338
instance_06_n5_p0.2_q3.txt,6,5,2,0,4,1,0,2.6e-05
instance_07_n5_p0.4_q4.txt,7,5,3,0,4,1,1,2.6e-05
instance_08_n5_p0.6_q3.txt,8,5,3,0,4,2,0 2,0.000107
instance_09_n8_p0.1_q3.txt,9,8,3,0,7,1,1,4.8e-05
instance_10_n8_p0.3_q4.txt,10,8,4,0,7,2,0 1,0.000128
instance_11_n8_p0.4_q4.txt,11,8,4,0,7,2,0 2,0.000158
instance_12_n8_p0.5_q5.txt,12,8,5,0,7,2,2 3,0.000325
instance_13_n8_p0.6_q5.txt,13,8,4,0,7,2,0 4,0.000195
instance_14_n8_p0.7_q6.txt,14,8,5,0,7,3,1 3 4,0.000506
instance_15_n8_p0.8_q8.txt,15,8,7,0,7,4,0 1 4 7,0.002228
instance_16_n8_p0.9_q7.txt,16,8,7,0,7,4,0 1 2 4,0.002117
instance_17_n10_p0.2_q5.txt,17,10,4,0,9,1,4,0.000106
instance_18_n10_p0.3_q6.txt,18,10,5,0,9,2,0 5,0.000277
instance_19_n10_p0.4_q6.txt,19,10,6,0,9,3,1 3 4,0.001133
instance_20_n10_p0.5_q7.txt,20,10,7,0,9,3,2 3 4,0.001797
instance_21_n10_p0.6_q8.txt,21,10,8,0,9,3,4 5 7,0.003458
instance_22_n10_p0.7_q9.txt,22,10,9,0,9,4,0 2 3 6,0.00629
instance_23_n10_p0.8_q8.txt,23,10,8,0,9,4,2 3 5 6,0.00622
instance_24_n12_p0.2_q4.txt,24,12,4,0,11,1,0,5.7e-05
instance_25_n12_p0.4_q6.txt,25,12,6,0,11,2,0 1,0.00028
instance_26_n12_p0.5_q7.txt,26,12,7,0,11,3,4 5 6,0.002902
instance_27_n12_p0.6_q8.txt,27,12,8,0,11,5,1 2 3 4 6,0.010401
instance_28_n12_p0.7_q6.txt,28,12,6,0,11,3,0 4 5,0.001806
instance_29_n12_p0.8_q9.txt,29,12,9,0,11,4,0 4 5 6,0.009563
instance_30_n12_p0.9_q10.txt,30,12,10,0,11,6,1 2 4 5 6 8,0.051152
instance_31_n15_p0.2_q5.txt,31,15,5,0,14,1,0,4.8e-05
instance_32_n15_p0.4_q7.txt,32,15,7,0,14,4,1 2 3 6,0.005006
instance_33_n15_p0.5_q8.txt,33,15,7,0,14,3,0 5 7,0.002346
instance_34_n15_p0.6_q8.txt,34,15,8,0,14,4,0 1 4 7,0.00753
instance_35_n15_p0.8_q8.txt,35,15,8,0,14,6,0 1 2 3 4 5,0.020133
