文件名,实例编号,顶点数n,边数m,标签数q,msg_cut_size,dual_cut_size,msg_runtime_s,dual_runtime_s,msg_valid,dual_valid,improvement_pct,dual_time_ratio_vs_msg,dual_win,tie
instance_01_n5_p0.1_q2.txt,1,5,3,2,1,1,0.004504,0.010119,1,1,0.0,2.247,0,1
instance_02_n5_p0.3_q2.txt,2,5,2,1,1,1,0.004105,0.008459,1,1,0.0,2.0606,0,1
instance_03_n5_p0.5_q3.txt,3,5,6,3,1,1,0.007193,0.014326,1,1,0.0,1.9917,0,1
instance_04_n5_p0.7_q2.txt,4,5,6,2,1,1,0.00737,0.012782,1,1,0.0,1.7342,0,1
instance_05_n5_p0.9_q5.txt,5,5,9,5,3,4,0.006977,0.0162,1,1,-33.3333,2.322,0,0
instance_06_n5_p0.2_q3.txt,6,5,2,2,1,1,0.00387,0.009362,1,1,0.0,2.4189,0,1
instance_07_n5_p0.4_q4.txt,7,5,4,3,1,1,0.006573,0.014694,1,1,0.0,2.2355,0,1
instance_08_n5_p0.6_q3.txt,8,5,7,3,3,2,0.003987,0.010815,1,1,33.3333,2.7125,1,0
instance_09_n8_p0.1_q3.txt,9,8,3,3,1,1,0.004249,0.009497,1,1,0.0,2.2349,0,1
instance_100_n60_p0.8_q40.txt,100,60,1412,40,39,39,0.054426,0.291659,1,1,0.0,5.3588,0,1
instance_10_n8_p0.3_q4.txt,10,8,10,4,2,2,0.013496,0.021634,1,1,0.0,1.603,0,1
instance_11_n8_p0.4_q4.txt,11,8,12,4,2,2,0.012195,0.021354,1,1,0.0,1.7511,0,1
instance_12_n8_p0.5_q5.txt,12,8,13,5,4,3,0.011928,0.022104,1,1,25.0,1.8532,1,0
instance_13_n8_p0.6_q5.txt,13,8,15,4,2,2,0.00913,0.020788,1,1,0.0,2.2768,0,1
instance_14_n8_p0.7_q6.txt,14,8,15,5,3,3,0.005153,0.01552,1,1,0.0,3.0119,0,1
instance_15_n8_p0.8_q8.txt,15,8,22,7,6,5,0.005182,0.016732,1,1,16.6667,3.2288,1,0
instance_16_n8_p0.9_q7.txt,16,8,23,7,5,5,0.013179,0.027291,1,1,0.0,2.0707,0,1
instance_17_n10_p0.2_q5.txt,17,10,10,4,1,1,0.012782,0.026381,1,1,0.0,2.064,0,1
instance_18_n10_p0.3_q6.txt,18,10,18,5,4,3,0.005913,0.019207,1,1,25.0,3.2481,1,0
instance_19_n10_p0.4_q6.txt,19,10,21,6,4,4,0.009614,0.0217,1,1,0.0,2.2572,0,1
instance_20_n10_p0.5_q7.txt,20,10,23,7,6,6,0.009262,0.024264,1,1,0.0,2.6197,0,1
instance_21_n10_p0.6_q8.txt,21,10,29,8,7,7,0.014911,0.029244,1,1,0.0,1.9613,0,1
instance_22_n10_p0.7_q9.txt,22,10,32,9,5,5,0.015815,0.031229,1,1,0.0,1.9746,0,1
instance_23_n10_p0.8_q8.txt,23,10,32,8,5,7,0.010993,0.029857,1,1,-40.0,2.716,0,0
instance_24_n12_p0.2_q4.txt,24,12,14,4,1,1,0.009715,0.026482,1,1,0.0,2.7257,0,1
instance_25_n12_p0.4_q6.txt,25,12,24,6,4,3,0.025557,0.029092,1,1,25.0,1.1383,1,0
instance_26_n12_p0.5_q7.txt,26,12,36,7,6,6,0.011077,0.027202,1,1,0.0,2.4556,0,1
instance_27_n12_p0.6_q8.txt,27,12,41,8,7,7,0.010797,0.03121,1,1,0.0,2.8905,0,1
instance_28_n12_p0.7_q6.txt,28,12,51,6,6,3,0.007622,0.029956,1,1,50.0,3.9301,1,0
instance_29_n12_p0.8_q9.txt,29,12,48,9,9,9,0.011206,0.029272,1,1,0.0,2.6122,0,1
instance_30_n12_p0.9_q10.txt,30,12,58,10,9,9,0.009854,0.029553,1,1,0.0,2.9991,0,1
instance_31_n15_p0.2_q5.txt,31,15,14,5,1,1,0.010594,0.03375,1,1,0.0,3.1858,0,1
instance_32_n15_p0.4_q7.txt,32,15,47,7,6,5,0.007535,0.025221,1,1,16.6667,3.3473,1,0
instance_33_n15_p0.5_q8.txt,33,15,46,7,6,3,0.007636,0.03893,1,1,50.0,5.0984,1,0
instance_34_n15_p0.6_q8.txt,34,15,62,8,4,4,0.011213,0.044731,1,1,0.0,3.9892,0,1
instance_35_n15_p0.8_q8.txt,35,15,85,8,7,8,0.009632,0.034229,1,1,-14.2857,3.5539,0,0
instance_36_n20_p0.1_q10.txt,36,20,21,8,1,1,0.006913,0.018788,1,1,0.0,2.7176,0,1
instance_37_n20_p0.2_q10.txt,37,20,40,10,5,5,0.032881,0.061705,1,1,0.0,1.8766,0,1
instance_38_n20_p0.3_q12.txt,38,20,64,11,8,6,0.012649,0.054253,1,1,25.0,4.289,1,0
instance_39_n20_p0.4_q13.txt,39,20,83,13,9,9,0.022205,0.056552,1,1,0.0,2.5468,0,1
instance_40_n20_p0.5_q15.txt,40,20,104,15,12,13,0.022433,0.058963,1,1,-8.3333,2.6284,0,0
instance_41_n20_p0.6_q16.txt,41,20,119,16,15,15,0.016642,0.049474,1,1,0.0,2.9728,0,1
instance_42_n20_p0.7_q18.txt,42,20,138,18,18,17,0.024277,0.062286,1,1,5.5556,2.5656,1,0
instance_43_n20_p0.8_q20.txt,43,20,157,20,19,18,0.009453,0.056092,1,1,5.2632,5.9338,1,0
instance_44_n20_p0.9_q25.txt,44,20,173,25,24,24,0.025868,0.073789,1,1,0.0,2.8525,0,1
instance_45_n25_p0.1_q12.txt,45,25,32,11,4,2,0.025145,0.087177,1,1,50.0,3.4669,1,0
instance_46_n25_p0.3_q14.txt,46,25,92,14,10,11,0.024417,0.070203,1,1,-10.0,2.8752,0,0
instance_47_n25_p0.5_q16.txt,47,25,157,16,13,13,0.019024,0.059156,1,1,0.0,3.1095,0,1
instance_48_n25_p0.7_q18.txt,48,25,220,18,18,18,0.019644,0.067807,1,1,0.0,3.4519,0,1
instance_49_n25_p0.9_q22.txt,49,25,276,22,21,21,0.023318,0.08144,1,1,0.0,3.4926,0,1
instance_50_n30_p0.1_q15.txt,50,30,49,15,1,2,0.042163,0.102728,1,1,-100.0,2.4364,0,0
instance_51_n30_p0.2_q16.txt,51,30,96,16,11,10,0.021167,0.055243,1,1,9.0909,2.6099,1,0
instance_52_n30_p0.3_q18.txt,52,30,133,18,15,10,0.025647,0.060256,1,1,33.3333,2.3494,1,0
instance_53_n30_p0.4_q19.txt,53,30,162,19,17,17,0.034869,0.087929,1,1,0.0,2.5217,0,1
instance_54_n30_p0.5_q20.txt,54,30,214,20,19,17,0.033106,0.10612,1,1,10.5263,3.2054,1,0
instance_55_n30_p0.6_q21.txt,55,30,264,21,20,20,0.035279,0.094184,1,1,0.0,2.6697,0,1
instance_56_n30_p0.7_q22.txt,56,30,308,22,22,22,0.021556,0.093282,1,1,0.0,4.3274,0,1
instance_57_n30_p0.8_q25.txt,57,30,348,25,25,25,0.022912,0.096306,1,1,0.0,4.2034,0,1
instance_58_n30_p0.9_q30.txt,58,30,394,30,28,28,0.029418,0.123638,1,1,0.0,4.2028,0,1
instance_59_n35_p0.2_q18.txt,59,35,109,18,15,9,0.037984,0.091022,1,1,40.0,2.3963,1,0
instance_60_n35_p0.4_q20.txt,60,35,238,20,19,19,0.022949,0.08651,1,1,0.0,3.7696,0,1
instance_61_n35_p0.6_q22.txt,61,35,346,22,19,18,0.034561,0.123451,1,1,5.2632,3.572,1,0
instance_62_n35_p0.8_q26.txt,62,35,481,26,24,25,0.029583,0.124217,1,1,-4.1667,4.1989,0,0
instance_63_n40_p0.1_q20.txt,63,40,77,19,6,6,0.078287,0.140614,1,1,0.0,1.7961,0,1
instance_64_n40_p0.3_q22.txt,64,40,248,22,20,19,0.033442,0.101025,1,1,5.0,3.0209,1,0
instance_65_n40_p0.5_q25.txt,65,40,394,25,23,25,0.01485,0.119092,1,1,-8.6957,8.0199,0,0
instance_66_n40_p0.7_q27.txt,66,40,549,27,26,26,0.025081,0.120828,1,1,0.0,4.8175,0,1
instance_67_n40_p0.9_q30.txt,67,40,703,30,29,29,0.033015,0.158127,1,1,0.0,4.7896,0,1
instance_68_n40_p0.4_q25.txt,68,40,312,25,23,23,0.037212,0.11592,1,1,0.0,3.1151,0,1
instance_69_n40_p0.6_q28.txt,69,40,447,28,26,26,0.02659,0.124172,1,1,0.0,4.6699,0,1
instance_70_n40_p0.8_q29.txt,70,40,611,29,28,28,0.03082,0.14407,1,1,0.0,4.6746,0,1
instance_71_n45_p0.1_q22.txt,71,45,106,21,4,6,0.044576,0.117667,1,1,-50.0,2.6397,0,0
instance_72_n45_p0.2_q24.txt,72,45,191,24,20,13,0.069572,0.122168,1,1,35.0,1.756,1,0
instance_73_n45_p0.3_q25.txt,73,45,306,25,21,23,0.027798,0.137261,1,1,-9.5238,4.9379,0,0
instance_74_n45_p0.4_q26.txt,74,45,395,26,23,20,0.089672,0.152043,1,1,13.0435,1.6955,1,0
instance_75_n45_p0.5_q28.txt,75,45,485,28,26,26,0.042676,0.138462,1,1,0.0,3.2445,0,1
instance_76_n45_p0.6_q30.txt,76,45,584,30,28,28,0.029456,0.142292,1,1,0.0,4.8306,0,1
instance_77_n45_p0.7_q32.txt,77,45,698,32,30,30,0.025821,0.14402,1,1,0.0,5.5776,0,1
instance_78_n45_p0.8_q34.txt,78,45,789,34,32,32,0.042003,0.161686,1,1,0.0,3.8494,0,1
instance_79_n45_p0.9_q36.txt,79,45,892,36,35,36,0.020057,0.2064,1,1,-2.8571,10.2909,0,0
instance_80_n50_p0.1_q25.txt,80,50,117,25,1,1,0.036761,0.320531,1,1,0.0,8.7193,0,1
instance_81_n50_p0.2_q25.txt,81,50,249,25,18,19,0.064098,0.148803,1,1,-5.5556,2.3215,0,0
instance_82_n50_p0.3_q26.txt,82,50,386,26,24,24,0.054441,0.165315,1,1,0.0,3.0366,0,1
instance_83_n50_p0.4_q28.txt,83,50,525,28,27,26,0.032534,0.174818,1,1,3.7037,5.3733,1,0
instance_84_n50_p0.5_q30.txt,84,50,594,30,26,26,0.017551,0.122846,1,1,0.0,6.9995,0,1
instance_85_n50_p0.6_q32.txt,85,50,730,32,30,30,0.036266,0.17995,1,1,0.0,4.9619,0,1
instance_86_n50_p0.7_q34.txt,86,50,852,34,33,33,0.04118,0.189096,1,1,0.0,4.5919,0,1
instance_87_n50_p0.8_q36.txt,87,50,978,36,35,34,0.045001,0.232422,1,1,2.8571,5.1649,1,0
instance_88_n50_p0.9_q38.txt,88,50,1092,38,36,36,0.046478,0.240115,1,1,0.0,5.1662,0,1
instance_89_n55_p0.2_q28.txt,89,55,288,28,18,18,0.069952,0.160656,1,1,0.0,2.2966,0,1
instance_90_n55_p0.4_q30.txt,90,55,599,30,26,26,0.036589,0.166777,1,1,0.0,4.5582,0,1
instance_91_n55_p0.6_q33.txt,91,55,906,33,31,32,0.064628,0.22389,1,1,-3.2258,3.4643,0,0
instance_92_n55_p0.8_q36.txt,92,55,1165,36,34,36,0.026498,0.248856,1,1,-5.8824,9.3916,0,0
instance_93_n60_p0.1_q30.txt,93,60,144,30,9,3,0.086594,0.174639,1,1,66.6667,2.0168,1,0
instance_94_n60_p0.2_q31.txt,94,60,366,31,26,29,0.05395,0.224012,1,1,-11.5385,4.1522,0,0
instance_95_n60_p0.3_q32.txt,95,60,553,32,30,30,0.0677,0.179085,1,1,0.0,2.6453,0,1
instance_96_n60_p0.4_q34.txt,96,60,681,34,27,28,0.061702,0.21299,1,1,-3.7037,3.4519,0,0
instance_97_n60_p0.5_q35.txt,97,60,872,35,33,33,0.066179,0.218795,1,1,0.0,3.3061,0,1
instance_98_n60_p0.6_q36.txt,98,60,1036,36,35,35,0.046196,0.242124,1,1,0.0,5.2413,0,1
instance_99_n60_p0.7_q38.txt,99,60,1249,38,37,37,0.077566,0.300053,1,1,0.0,3.8684,0,1
