顶点数n,instances,dual_win_rate,tie_rate,avg_improvement_pct,avg_msg_runtime_s,avg_dual_runtime_s,avg_time_ratio,msg_valid_rate,dual_valid_rate
5,8,12.5,75.0,0.0,0.0056,0.0121,2.215,100.0,100.0
8,8,25.0,75.0,5.208,0.0093,0.0194,2.254,100.0,100.0
10,7,14.29,71.43,-2.143,0.0113,0.026,2.406,100.0,100.0
12,7,28.57,71.43,10.714,0.0123,0.029,2.679,100.0,100.0
15,5,40.0,40.0,10.476,0.0093,0.0354,3.835,100.0,100.0
20,9,33.33,55.56,3.054,0.0193,0.0547,3.154,100.0,100.0
25,5,20.0,60.0,8.0,0.0223,0.0732,3.279,100.0,100.0
30,9,33.33,55.56,-5.228,0.0296,0.0911,3.17,100.0,100.0
35,4,50.0,25.0,10.274,0.0313,0.1063,3.484,100.0,100.0
40,8,12.5,75.0,-0.462,0.0349,0.128,4.363,100.0,100.0
45,9,22.22,44.44,-1.593,0.0435,0.1469,4.314,100.0,100.0
50,9,22.22,66.67,0.112,0.0416,0.1971,5.148,100.0,100.0
55,4,0.0,50.0,-2.277,0.0494,0.2,4.928,100.0,100.0
60,8,12.5,62.5,6.428,0.0643,0.2304,3.755,100.0,100.0
