实例名称,顶点数n,最优解标签数,启发式解标签数,近似比,启发式时间(s),暴力时间(s),是否命中最优解
instance_01_n5_p0.1_q2.txt,5,1,1,1.0,0.005,6e-05,1
instance_02_n5_p0.3_q2.txt,5,1,1,1.0,0.005,3.1e-05,1
instance_03_n5_p0.5_q3.txt,5,1,1,1.0,0.008,6.6e-05,1
instance_04_n5_p0.7_q2.txt,5,1,1,1.0,0.007,4.6e-05,1
instance_05_n5_p0.9_q5.txt,5,3,4,1.33,0.009,0.000338,0
instance_06_n5_p0.2_q3.txt,5,1,1,1.0,0.005,2.6e-05,1
instance_07_n5_p0.4_q4.txt,5,1,1,1.0,0.008,2.6e-05,1
instance_08_n5_p0.6_q3.txt,5,2,2,1.0,0.006,0.000107,1
instance_09_n8_p0.1_q3.txt,8,1,1,1.0,0.005,4.8e-05,1
instance_10_n8_p0.3_q4.txt,8,2,2,1.0,0.011,0.000128,1
instance_11_n8_p0.4_q4.txt,8,2,2,1.0,0.011,0.000158,1
instance_12_n8_p0.5_q5.txt,8,2,2,1.0,0.012,0.000325,1
instance_13_n8_p0.6_q5.txt,8,2,2,1.0,0.011,0.000195,1
instance_14_n8_p0.7_q6.txt,8,3,3,1.0,0.009,0.000506,1
instance_15_n8_p0.8_q8.txt,8,4,5,1.25,0.011,0.002228,0
instance_16_n8_p0.9_q7.txt,8,4,5,1.25,0.016,0.002117,0
instance_17_n10_p0.2_q5.txt,10,1,1,1.0,0.013,0.000106,1
instance_18_n10_p0.3_q6.txt,10,2,3,1.5,0.01,0.000277,0
instance_19_n10_p0.4_q6.txt,10,3,5,1.67,0.012,0.001133,0
instance_20_n10_p0.5_q7.txt,10,3,6,2.0,0.014,0.001797,0
instance_21_n10_p0.6_q8.txt,10,3,7,2.33,0.018,0.003458,0
instance_22_n10_p0.7_q9.txt,10,4,5,1.25,0.022,0.00629,0
instance_23_n10_p0.8_q8.txt,10,4,7,1.75,0.021,0.00622,0
instance_24_n12_p0.2_q4.txt,12,1,1,1.0,0.014,5.7e-05,1
instance_25_n12_p0.4_q6.txt,12,2,3,1.5,0.016,0.00028,0
instance_26_n12_p0.5_q7.txt,12,3,6,2.0,0.017,0.002902,0
instance_27_n12_p0.6_q8.txt,12,5,7,1.4,0.026,0.010401,0
instance_28_n12_p0.7_q6.txt,12,3,3,1.0,0.017,0.001806,1
instance_29_n12_p0.8_q9.txt,12,4,9,2.25,0.025,0.009563,0
instance_30_n12_p0.9_q10.txt,12,6,9,1.5,0.066,0.051152,0
instance_31_n15_p0.2_q5.txt,15,1,1,1.0,0.018,4.8e-05,1
instance_32_n15_p0.4_q7.txt,15,4,5,1.25,0.018,0.005006,0
instance_33_n15_p0.5_q8.txt,15,3,3,1.0,0.023,0.002346,1
instance_34_n15_p0.6_q8.txt,15,4,4,1.0,0.031,0.00753,1
instance_35_n15_p0.8_q8.txt,15,6,8,1.33,0.038,0.020133,0
